genres,title,release_date,id,user_id,steam_id,playtime_forever
['Action'],Half-Life,1998-11-08,70,kube134,76561198031442694,4
['Strategy'],Disciples II: Rise of the Elves,2006-07-06,1630,thebtb,76561197996297264,4
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006-07-11,2400,sandwiches1,76561198052850911,374
['Action'],Advent Rising,2005-08-09,3800,76561198042441420,76561198042441420,0
"['Indie', 'Strategy']",DEFCON,2006-09-29,1520,76561198074257942,76561198074257942,39
"['Indie', 'Simulation']",Garry's Mod,2006-11-29,4000,corrupted_soul,76561198007659921,2644
['Racing'],RACE - The WTCC Game,2006-11-24,4230,76561198083664578,76561198083664578,2417
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006-12-19,2520,NotJamie,76561198048752818,0
['Strategy'],Ghost Master®,2003-08-23,6200,76561197999429998,76561197999429998,1
['Strategy'],Vegas: Make It Big™,2006-12-21,6210,76561198069536961,76561198069536961,79
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006-04-17,6300,HeavilyMedicated,76561198046323951,0
['Racing'],FlatOut 2™,2006-08-01,2990,76561198007390829,76561198007390829,0
['Racing'],FlatOut,2005-07-12,6220,MemeMeisterMatt,76561198101747997,17
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007-06-26,6510,76561198093077177,76561198093077177,0
['Strategy'],CivCity: Rome,2006-07-24,3980,Cheesecake_,76561197992808749,47
['RPG'],Arx Fatalis,2002-11-12,1700,76561198083375450,76561198083375450,18
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000-11-17,6310,76561198023904825,76561198023904825,73
['Strategy'],Sid Meier's Railroads!,2006-10-16,7600,76561198077340186,76561198077340186,212
"['Casual', 'Indie']",RIP - Trilogy™,2007-06-01,2540,hardsteph,76561198089446068,23
['Strategy'],X-COM: Terror From the Deep,1995-04-01,7650,John_Batman,76561198020627667,136
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007-06-05,8000,76561198016458849,76561198016458849,311
['Action'],Devil May Cry® 3 Special Edition,2006-05-23,6550,76561198082864529,76561198082864529,35
['Action'],Final DOOM,1996-06-17,2290,76561198210065223,76561198210065223,4
['Action'],Ultimate Doom,1995-04-30,2280,teamrobo,76561198014358210,3
['Action'],DOOM II,1994-05-05,2300,76561198013564709,76561198013564709,54
['Action'],Wolfenstein 3D,1994-08-03,2270,76561198041648531,76561198041648531,7
['Action'],Return to Castle Wolfenstein,2001-11-20,9010,76561198094722660,76561198094722660,782
['Action'],BloodRayne,2003-09-09,3810,Rawrimaviking,76561198020248449,0
['Action'],QUAKE,2007-05-31,2310,76561198052512374,76561198052512374,226
['Strategy'],Genesis Rising,2007-03-20,3230,76561198034357027,76561198034357027,144
"['Action', 'RPG']",BioShock™,2007-08-21,7670,76561198009605382,76561198009605382,513
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,4570,76561198056960847,76561198056960847,710
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,4580,AwsomeZ10,76561198055512690,251
['Strategy'],Rome: Total War™ - Collection,2004-09-22,4760,76561198151910904,76561198151910904,14
['Strategy'],Rome: Total War™ - Alexander,2006-06-26,4770,76561198035565631,76561198035565631,0
['Action'],Manhunt,2004-04-20,12130,COLOMBIANO00,76561198088000714,0
['Racing'],Midnight Club 2,2003-07-01,12160,jwatt1991,76561198033995949,16
['Action'],Max Payne 2: The Fall of Max Payne,2003-10-14,12150,76561198002429348,76561198002429348,2796
"['Action', 'Adventure']",Tomb Raider: Legend,2006-04-07,7000,76561198095142204,76561198095142204,62
['Action'],Max Payne,2001-07-25,12140,76561198053865864,76561198053865864,1095
['Strategy'],Command &amp; Conquer: Red Alert 3,2008-10-28,17480,76561198052897627,76561198052897627,277
['Casual'],PuzzleQuest: Challenge of the Warlords,2007-10-10,12500,76561198040994411,76561198040994411,321
['Strategy'],Prison Tycoon 3™: Lockdown,2007-08-01,12510,76561198044711473,76561198044711473,13
['Racing'],18 Wheels of Steel: American Long Haul,2007-12-03,12520,76561198042117921,76561198042117921,1388
['Action'],Conflict: Denied Ops,2008-02-08,8100,76561198024637554,76561198024637554,0
['Action'],ARMA: Combat Operations,2007-05-08,2780,76561198027719152,76561198027719152,1
['Action'],Act of War: High Treason,2006-05-30,9760,76561198095380303,76561198095380303,7
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006-10-26,2700,Ben_Andy,76561198088398113,1299
['Action'],Unreal 2: The Awakening,2003-02-03,13200,76561198049564546,76561198049564546,0
['Action'],Tom Clancy's Splinter Cell®,2003-02-18,13560,76561198068639827,76561198068639827,1
['Action'],Far Cry®,2004-03-23,13520,76561198004722159,76561198004722159,1249
['Action'],Unreal Tournament: Game of the Year Edition,2000-10-25,13240,76561198046807777,76561198046807777,3
['Action'],Tom Clancy's Rainbow Six® Vegas,2006-12-12,13540,76561198073704625,76561198073704625,1
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008-05-28,16180,kitonazento,76561197984758601,1896
['Casual'],Little Farm,2008-06-10,15960,76561198072342419,76561198072342419,283
['Simulation'],Petz® Horsez® 2,2007-11-13,15160,76561198086829411,76561198086829411,193
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007-03-20,15200,76561198058577675,76561198058577675,27
['Simulation'],IL-2 Sturmovik: 1946,2006-12-15,15320,76561197973805396,76561197973805396,2
['Adventure'],Dracula Origin,2008-05-20,11050,FFRAWR,76561198040723434,641
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008-04-14,11040,76561198048584625,76561198048584625,265
"['Action', 'Indie']",Tank Universal,2008-08-21,19200,thornyprick,76561198069788945,13
['Racing'],FlatOut: Ultimate Carnage,2008-08-19,12360,drvadgers,76561198068868890,34
['Adventure'],Oddworld: Abe's Exoddus®,1998-11-17,15710,76561198097996886,76561198097996886,73
['Adventure'],Oddworld: Abe's Oddysee®,1997-12-12,15700,750805,76561198095708135,176
['Strategy'],X-COM: Apocalypse,1997-07-15,7660,76561198031943764,76561198031943764,5
['Strategy'],X-COM: UFO Defense,1993-12-31,7760,76561198045187637,76561198045187637,33
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,2008-09-15,20510,PABLOVSKI,76561198067164387,3472
['Action'],Crysis Warhead®,2008-09-17,17330,76561198018463795,76561198018463795,294
['Action'],Crysis,2007-11-13,17300,NoObFiGHtEr,76561198032786959,77
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,2008-09-16,20900,76561198050876555,76561198050876555,283
['Indie'],Multiwinia,2008-09-19,1530,76561198026040814,76561198026040814,526
"['Action', 'Adventure']",LEGO Batman,2008-09-29,21000,N47H4NI3L,76561198039224622,742
"['Simulation', 'Strategy']",City Life 2008,2008-07-18,4460,maximus2982,76561198087035615,1804
['Action'],Brothers in Arms: Hell's Highway™,2008-10-08,15390,76561198033164288,76561198033164288,219
['Racing'],Xpand Rally Xtreme,2006-12-01,3050,waxywings,76561198006145983,182
['Casual'],Peggle™ Nights,2008-10-15,3540,blackopalandlevi,76561198058645143,10651
['Indie'],World of Goo,2008-10-13,22000,76561198149898927,76561198149898927,408
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,2008-10-16,2820,Doomsdayvirus1,76561198128804555,988
"['Casual', 'Indie']",Spectraball,2008-10-20,18300,balaiom,76561198034726053,2
"['Action', 'Adventure']",Bully: Scholarship Edition,2008-10-21,12200,76561198081148689,76561198081148689,114
['Action'],Far Cry® 2: Fortune's Edition,2008-10-22,19900,76561198088886304,76561198088886304,0
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,2008-10-23,11240,agooglemail,76561198165884782,0
['Action'],Saints Row 2,2009-01-28,9480,76561198006534186,76561198006534186,0
['Action'],Dead Space,2008-10-20,17470,76561198056741844,76561198056741844,12
['RPG'],Rise of the Argonauts,2008-12-16,12770,76561198068572619,76561198068572619,933
"['Action', 'Adventure']",Mirror's Edge™,2009-01-13,17410,76561198064622636,76561198064622636,513
"['Indie', 'Strategy']",Defense Grid: The Awakening,2008-12-08,18500,76561198039183543,76561198039183543,995
['Action'],F.E.A.R. 2: Project Origin,2009-02-12,16450,76561198094506909,76561198094506909,0
"['Action', 'Indie']",Larva Mortus,2009-03-19,11340,Hyei525,76561198080112902,333
"['Action', 'Adventure', 'Indie']",Penumbra Overture,2007-03-30,22180,Smileygamer,76561198071382468,394
['Action'],Unreal Tournament 3 Black,2007-11-19,13210,76561198067209151,76561198067209151,133
['Racing'],Burnout Paradise: The Ultimate Box,2009-02-03,24740,DeerHunter666,76561198054742584,183
"['Casual', 'Indie']",Obulis,2009-03-19,11330,76561198119106238,76561198119106238,0
['Casual'],Puzzle Kingdoms,2009-04-16,23700,76561198064237603,76561198064237603,1020
['RPG'],Two Worlds Epic Edition,2009-04-30,1930,Karontik,76561198071612898,869
"['Action', 'Adventure', 'RPG']",X-Blades,2009-02-10,7510,76561198052138028,76561198052138028,37
"['Action', 'Indie']",Zeno Clash,2009-04-21,22200,cuckox,76561198148074610,125
"['RPG', 'Strategy']",King's Bounty: The Legend,2008-09-23,25900,SuperBeardMan,76561198025582581,0
"['RPG', 'Strategy']",Freedom Force,2002-03-26,8880,veritronx,76561197971116715,0
"['Indie', 'Simulation', 'Strategy']",Light of Altair,2009-06-04,34500,themitchnz,76561197995470508,0
"['Action', 'Adventure']",Prototype™,2009-06-10,10150,76561198073955516,76561198073955516,2392
['RPG'],The Elder Scrolls IV: Oblivion® Game of the Year Edition,2007-09-11,22330,76561198037346576,76561198037346576,375
['RPG'],The Elder Scrolls III: Morrowind® Game of the Year Edition,2002-04-29,22320,76561198072651020,76561198072651020,16697
['Adventure'],Ankh 2: Heart of Osiris,2007-05-18,12440,76561198095862783,76561198095862783,18
['Action'],Call of Juarez®: Bound in Blood,2009-06-30,21980,76561198069568536,76561198069568536,763
['Adventure'],Tales of Monkey Island Complete Pack,2009-07-07,31170,onearmedninja,76561198029419951,233
['Action'],Street Fighter® IV,2009-07-07,21660,omegaunlocked,76561198084704837,41
['Adventure'],Indiana Jones® and the Fate of Atlantis™,1992-06-01,6010,76561198095400557,76561198095400557,0
['Action'],"Star Wars: Battlefront 2 (Classic, 2005)",2005-11-01,6060,xXLeoXx,76561198088765640,20
"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,2008-06-03,32330,76561198060822442,76561198060822442,0
['Adventure'],The Secret of Monkey Island: Special Edition,2009-07-15,32360,76561198049134396,76561198049134396,3
['Sports'],3D Ultra™ Minigolf Adventures,2006-12-20,10140,76561197979837382,76561197979837382,37
['Action'],TimeShift™,2007-10-30,10130,76561198018024046,76561198018024046,0
"['Simulation', 'Strategy']",Tropico Reloaded,2009-07-24,33520,76561198102157606,76561198102157606,11
['Action'],Bionic Commando: Rearmed,2008-08-14,21680,76561198037437275,76561198037437275,0
"['Action', 'Adventure']",Bionic Commando,2009-07-28,21670,76561198047003040,76561198047003040,0
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,2009-08-04,36000,narasha,76561198296618946,0
"['Adventure', 'RPG']",STAR WARS™ - Knights of the Old Republic™,2003-11-19,32370,76561198015759079,76561198015759079,2113
"['Indie', 'Casual']",Osmos,2009-08-18,29180,76561198061904610,76561198061904610,11
['RPG'],Fallout 2: A Post Nuclear Role Playing Game,1998-12-01,38410,76561198066453606,76561198066453606,171
"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",2009-06-22,37400,76561198090449046,76561198090449046,1
"['Action', 'Racing']",Crash Time 2,2009-08-27,11390,76561198075322986,76561198075322986,22
"['Action', 'Adventure']",Mini Ninjas,2009-09-08,35000,tehaznshow,76561198100131932,156
['RPG'],Risen,2009-10-30,40300,avdl,76561198126617091,0
"['Adventure', 'Indie']",Machinarium,2009-10-16,40700,Eddy_Tan,76561198053601625,0
['Action'],Medal of Honor: Airborne,2007-09-04,24840,76561198039434430,76561198039434430,305
['Racing'],Need for Speed: Shift,2009-09-15,24870,76561198024129921,76561198024129921,227
['RPG'],Torchlight,2009-10-27,41500,alphamone,76561197970525544,209
