genres,release_date,id,user_id,playtime_forever,title,sentiment_analysis
Action,2000-11-01,10,76561197970982479,6,CounterStrike,2.0
Action,2000-11-01,10,js41637,0,CounterStrike,1.0
Action,2006-03-14,1200,evcentric,923,Red Orchestra Ostfront 4145,2.0
Action,2000-11-01,10,Riot-Punch,0,CounterStrike,1.0
Action,2010-07-12,300,doctr,1131,Day of Defeat Source,2.0
Action,1999-11-01,50,MinxIsBetterThanPotatoes,256,HalfLife Opposing Force,1.0
Action,2004-11-01,240,NitemarePK,3529,CounterStrike Source,1.0
Action,2004-11-16,220,themanwich,219,HalfLife 2,1.0
Action,2004-11-01,240,maplemage,5751,CounterStrike Source,2.0
Indie,2006-11-29,4000,corrupted_soul,2644,Garrys Mod,1.0
Action,2004-11-01,240,jorellpogi,3519,CounterStrike Source,1.0
RPG,2005-07-11,3920,cadmusthreepointoh,0,Sid Meiers Pirates,1.0
Action,2004-11-16,220,76561198064823719,2261,HalfLife 2,1.0
Action,2004-11-01,240,MeaTCompany,3209,CounterStrike Source,0.0
Indie,2006-11-29,4000,76561198089393905,47269,Garrys Mod,0.0
Indie,2006-11-29,4000,76561198156664158,269,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198156664158,269,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198077246154,4317,Garrys Mod,1.0
Action,2000-11-01,10,WeiEDKrSat,328,CounterStrike,1.0
Action,2010-07-12,300,thequeenpanda,57,Day of Defeat Source,1.0
Action,2010-07-12,300,death-hunter,582,Day of Defeat Source,2.0
Action,2008-04-09,15100,turneddreamsintoanempire,972,Assassins Creed Directors Cut Edition,1.0
Indie,2006-11-29,4000,DJKamBer,868,Garrys Mod,2.0
Indie,2006-11-29,4000,Rainbow-Dashie,253,Garrys Mod,1.0
Indie,2006-11-29,4000,btuty8trgt,230,Garrys Mod,1.0
Action,2004-11-01,240,76561198043472122,0,CounterStrike Source,0.0
Strategy,2001-10-30,3910,MarbleShrine,92,Sid Meiers Civilization III Complete,2.0
Indie,2006-11-29,4000,fdcfelipefdc,860,Garrys Mod,1.0
Indie,2006-11-29,4000,bbaekhyun,186,Garrys Mod,1.0
Action,2010-07-12,300,Moomfina,425,Day of Defeat Source,1.0
Action,2004-11-01,240,PPanther,12870,CounterStrike Source,2.0
Indie,2006-11-29,4000,ABSOLUTLY_NOTHING,5217,Garrys Mod,1.0
Indie,2006-11-29,4000,devvonst,5032,Garrys Mod,2.0
Action,2000-11-01,10,Fr0stedLine,580,CounterStrike,2.0
Action,2004-11-16,220,76561198058373434,260,HalfLife 2,1.0
Indie,2006-11-29,4000,76561198048353577,84234,Garrys Mod,1.0
Action,2011-07-29,91700,76561198072190369,0,EYE Divine Cybermancy,1.0
Indie,2006-11-29,4000,76561198066046412,37,Garrys Mod,1.0
Indie,2006-11-29,4000,tru_mu_,1730,Garrys Mod,2.0
Indie,2006-11-29,4000,76561198070565427,4944,Garrys Mod,1.0
Indie,2006-11-29,4000,SavageEeEe,6702,Garrys Mod,2.0
Action,2004-11-16,220,KanadeTheNeko,1406,HalfLife 2,2.0
Indie,2006-11-29,4000,Leaf_Light_Moscow,4548,Garrys Mod,2.0
Action,2004-11-16,220,GoAwayZach,2583,HalfLife 2,2.0
Action,2004-11-16,220,76561198054540475,89,HalfLife 2,2.0
Action,2000-11-01,10,76561198100701221,13,CounterStrike,1.0
