genres,title,release_date,price,id,developer
"Action, Casual, Indie, Simulation, Strategy",Lost Summoner Kitty,2018-01-04,4.99,761140,Kotoshiro
"Free to Play, Indie, RPG, Strategy",Ironbound,2018-01-04,Free To Play,643980,Secret Level SRL
"Casual, Free to Play, Indie, Simulation, Sports",Real Pool 3D - Poolians,2017-07-24,Free to Play,670290,Poolians.com
"Action, Adventure, Casual",弹炸人2222,2017-12-07,0.99,767400,彼岸领域
"Action, Adventure, Simulation",Battle Royale Trainer,2018-01-04,3.99,772540,Trickjump Games Ltd
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Basic Pass,2018-01-04,9.99,774276,Poppermost Productions
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Pro Pass,2018-01-04,18.99,774277,Poppermost Productions
"Free to Play, Indie, Simulation, Sports",SNOW - All Access Legend Pass,2018-01-04,29.99,774278,Poppermost Productions
"Action, Adventure, Casual, Indie, RPG",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,770380,Stegalosaurus Game Development
"Casual, Indie",Beach Rules,2018-01-04,3.99,768880,Copperpick Studio
"Casual, Indie, Simulation",Planetarium 2 - Zen Odyssey,2018-01-03,2.99,765320,Ghulam Jewel
"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God,2018-01-03,1.59,773650,Apillo
"Free to Play, Indie, Simulation, Sports",SNOW - Starter Pack,2018-01-03,14.99,774271,Poppermost Productions
"Adventure, Casual, Indie, Simulation, Strategy",The first thrust of God - All Aircrafts,2018-01-03,1.99,773690,Apillo
"Free to Play, Indie, Simulation, Sports",SNOW - Lifetime Pack,2018-01-03,59.99,774279,Poppermost Productions
"Action, Adventure, Indie",The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka
"Racing, Simulation, Sports",RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper
"Racing, Simulation, Sports",RC Plane 3 - F-53B,2017-12-23,2.99,775881,FrozenPepper
"Action, Indie",DinoBlaster,2018-01-03,4.99,653960,Casey Labrack
"Action, Indie, Racing",Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd
Action,Half-Life,1998-11-08,9.99,70,Valve
"Action, Indie, RPG",Fallen Mage,2016-11-25,1.99,752360,dev4play
"Casual, Indie, Simulation",Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames
"Action, Adventure, RPG",Underdone - Soundtrack,2018-01-01,8.99,754360,The Commander
"Adventure, Casual, Indie, RPG",Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff"
Strategy,Disciples II: Gallean's Return,2006-07-06,6.99,1640,Strategy First
Strategy,Disciples II: Rise of the Elves,2006-07-06,6.99,1630,Strategy First
"Action, Indie, RPG",The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.
"Action, Indie, Strategy, Early Access",Souland,2017-12-29,7.99,759920,Ultraint
"Action, Adventure, Indie, RPG",TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS
"Casual, Strategy, Early Access",Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games
"Action, Indie",Orbitality,2017-12-29,9.99,753100,Wonderbox Games
"Action, Adventure, Casual",Atomic Adam: Episode 1,2017-12-30,1.99,764280,Mad Unicorn Games
"Adventure, Casual, Free to Play, Indie",Mirt. Tales of the Cold Land. Chapter 2,2017-12-29,0.99,758550,Emanon Studios
Action,Advent Rising,2005-08-09,9.99,3800,GlyphX Games
"Indie, Strategy",DEFCON,2006-09-29,9.99,1520,Introversion Software
"Action, Indie, RPG",The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.
"Indie, Simulation",Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios
Racing,RACE - The WTCC Game,2006-11-24,39.99,4230,SimBin
"Casual, Indie",Zen of Sudoku,2006-12-14,Free,4900,Unknown Worlds Entertainment
"Casual, Indie",Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o."
Strategy,Ghost Master®,2003-08-23,4.99,6200,Sick Puppies
Strategy,Vegas: Make It Big™,2006-12-21,4.99,6210,Deepred
"Adventure, RPG",Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom
Racing,FlatOut 2™,2006-08-01,9.99,2990,Bugbear Entertainment
Racing,FlatOut,2005-07-12,7.49,6220,Bugbear Entertainment
"Action, Adventure",Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd."
Strategy,CivCity: Rome,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games"
RPG,Arx Fatalis,2002-11-12,4.99,1700,Arkane Studios
"Action, Adventure, RPG",The Longest Journey,2000-11-17,9.99,6310,Funcom
Strategy,Civilization IV®: Warlords,2006-07-24,4.99,3990,Firaxis Games
Strategy,Railroad Tycoon 3,2003-10-23,9.99,7610,PopTop
Strategy,Sid Meier's Railroads!,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
Strategy,Railroad Tycoon II Platinum,1998-10-31,4.99,7620,PopTop
"Casual, Indie",RIP - Trilogy™,2007-06-01,4.99,2540,Elephant Games
Strategy,X-COM: Terror From the Deep,1995-04-01,4.99,7650,"MicroProse Software, Inc"
"Action, Adventure",Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
Action,Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550,"CAPCOM Co., Ltd."
"Action, Adventure",Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games
Action,Final DOOM,1996-06-17,4.99,2290,id Software
"Action, Adventure",Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games
Action,Ultimate Doom,1995-04-30,4.99,2280,id Software
Action,Master Levels for Doom II,1995-06-01,14.99,9160,id Software
Action,DOOM II,1994-05-05,4.99,2300,id Software
Action,Wolfenstein 3D,1994-08-03,4.99,2270,id Software
Action,Return to Castle Wolfenstein,2001-11-20,4.99,9010,Gray Matter Studios
Action,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040,Ritual Entertainment
Action,Spear of Destiny,1993-10-10,2.99,9000,id Software
Action,BloodRayne,2003-09-09,9.99,3810,Terminal Reality
Action,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030,Rogue Entertainment
Action,QUAKE,2007-05-31,4.99,2310,id Software
Strategy,Genesis Rising,2007-03-20,4.99,3230,Metamorf
Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310,Relic Entertainment
"Action, RPG",BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia"
Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570,Relic Entertainment
Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580,Relic Entertainment
Strategy,Rome: Total War™ - Collection,2004-09-22,9.99,4760,The Creative Assembly
Strategy,Rome: Total War™ - Alexander,2006-06-26,4.99,4770,The Creative Assembly
Casual,Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970,Big Fish Games
Action,Manhunt,2004-04-20,9.99,12130,Rockstar North
Racing,Midnight Club 2,2003-07-01,9.99,12160,Rockstar San Diego
Action,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150,Remedy Entertainment
"Action, Adventure",Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics
Action,Max Payne,2001-07-25,9.99,12140,Remedy Entertainment
Strategy,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,17480,EA Los Angeles
Casual,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500,Infinite Interactive
"RPG, Casual, Adventure",Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies
Strategy,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground"
"Action, Adventure, Strategy",Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software
Racing,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520,SCS Software
Action,Conflict: Denied Ops,2008-02-08,5.99,8100,Pivotal Games
Action,ARMA: Combat Operations,2007-05-08,7.99,2780,Bohemia Interactive
Action,Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710,Spellbound
"Action, Adventure",Death to Spies,2007-10-16,4.99,9800,Haggard Games
Action,Act of War: High Treason,2006-05-30,2.99,9760,Eugen Systems
"Simulation, Strategy",RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)"
Action,Act of War: Direct Action,2005-03-14,2.99,2710,Eugen Systems
Action,Unreal 2: The Awakening,2003-02-03,14.99,13200,"Epic Games, Inc."
Action,Unreal Gold,1998-04-30,9.99,13250,"Epic Games, Inc."
"Casual, Indie",Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games
Action,Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560,Ubisoft
Action,Far Cry®,2004-03-23,9.99,13520,Crytek Studios
Action,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240,"Epic Games, Inc."
Action,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540,Ubisoft Montreal
Simulation,Silent Hunter® III,2005-03-15,9.99,15210,Ubisoft
"Casual, Simulation",Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work
Casual,Mystery P.I.™ - The Vegas Heist,2008-06-04,4.99,3520,SpinTop Games
Casual,Luxor,2008-06-10,9.99,15970,MumboJumbo
Casual,Reaxxion,2008-06-10,9.99,15950,MumboJumbo
Casual,Little Farm,2008-06-10,9.99,15960,MumboJumbo
Casual,7 Wonders II,2008-06-10,9.99,15900,MumboJumbo
Casual,Luxor Amun Rising,2005-12-08,9.99,15910,MumboJumbo
Casual,Luxor 3,2007-11-13,9.99,15930,MumboJumbo
Simulation,Petz® Horsez® 2,2007-11-13,9.99,15160,Ubisoft
Casual,Luxor 2,2005-12-08,9.99,15920,MumboJumbo
"Action, Adventure",Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier"
Simulation,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200,Ubisoft Romania
Simulation,IL-2 Sturmovik: 1946,2006-12-15,9.99,15320,1C: Maddox Games
Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240,Ubisoft Romania
Adventure,Bone: Out From Boneville,2005-09-15,9.99,8310,Telltale Games
Racing,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600,"Merscom,Babylon"
Adventure,Bone: The Great Cow Race,2006-04-12,9.99,8320,Telltale Games
Racing,Sprint Cars Road to Knoxville,2008-07-29,9.99,12590,BigAnt Studios
Simulation,Ride! Carnival Tycoon,2007-07-02,9.99,12560,Gabriel Entertainment
Casual,Mahjongg Investigations: Under Suspicion,2007-08-08,9.99,12540,Zemnott
Adventure,Dracula Origin,2008-05-20,9.99,11050,Frogwares
"Adventure, RPG",Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares
"Adventure, Indie",Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios"
"Simulation, Strategy",Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio
"Action, Indie",Tank Universal,2008-08-21,4.99,19200,Dialogue Design
Racing,FlatOut: Ultimate Carnage,2008-08-19,19.99,12360,Bugbear Entertainment
Adventure,Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710,Oddworld Inhabitants
