user_id,steam_id,playtime_forever,id
76561197970982479,76561197970982479,6,10
js41637,76561198035864385,0,10
evcentric,76561198007712555,923,1200
Riot-Punch,76561197963445855,0,10
doctr,76561198002099482,1131,300
MinxIsBetterThanPotatoes,76561198004744620,256,50
NitemarePK,76561197990951820,3529,240
themanwich,76561198035296505,219,220
maplemage,76561198026584251,5751,240
Wackky,76561198039117046,0,0
corrupted_soul,76561198007659921,2644,4000
76561198079601835,76561198079601835,0,0
jorellpogi,76561198103696236,3519,240
cadmusthreepointoh,76561198027078629,0,3920
76561198064823719,76561198064823719,2261,220
MeaTCompany,76561198071532177,3209,240
76561198089393905,76561198089393905,47269,4000
76561198156664158,76561198156664158,269,4000
76561198077246154,76561198077246154,4317,4000
76561198070234207,76561198070234207,0,43110
WeiEDKrSat,76561198041660154,328,10
thequeenpanda,76561198010803705,57,300
death-hunter,76561198018556265,582,300
turneddreamsintoanempire,76561198122837537,972,15100
DJKamBer,76561198026039330,868,4000
76561198030389591,76561198030389591,0,205790
Rainbow-Dashie,76561198087659130,253,4000
btuty8trgt,76561198054746068,230,4000
76561198043472122,76561198043472122,0,240
MarbleShrine,76561198062570934,92,3910
fdcfelipefdc,76561198076096109,860,4000
hellom8o,76561198117222320,0,0
bbaekhyun,76561198066849709,186,4000
Moomfina,76561198056795460,425,300
PPanther,76561198026157558,12870,240
ABSOLUTLY_NOTHING,76561198053289985,5217,4000
devvonst,76561198062380099,5032,4000
Fr0stedLine,76561198037965617,580,10
starkillershadow553,76561198059648579,0,0
76561198058373434,76561198058373434,260,220
76561198048353577,76561198048353577,84234,4000
76561198072190369,76561198072190369,0,91700
76561198066046412,76561198066046412,37,4000
tru_mu_,76561198071250884,1730,4000
wirlom,76561198096285145,30,16730
76561198070565427,76561198070565427,4944,4000
SavageEeEe,76561198078235843,6702,4000
76561198076909484,76561198076909484,5577,12210
76561198066908262,76561198066908262,3,33910
KanadeTheNeko,76561198129159264,1406,220
Leaf_Light_Moscow,76561198305694024,4548,4000
erickoiv,76561198011733673,625,205790
GoAwayZach,76561198086431390,2583,220
76561198054540475,76561198054540475,89,220
darkenkane,76561198058876001,0,0
76561198100701221,76561198100701221,13,10
76561198085547365,76561198085547365,11304,4000
76561198061252210,76561198061252210,1250,220
OfficialShroomsy,76561198059361962,2,240
76561198056147391,76561198056147391,1537,4000
8Bit-Ninja,76561198033538808,6296,4000
76561198071500702,76561198071500702,314,4000
76561198099905030,76561198099905030,875,220
76561198047407223,76561198047407223,3802,4000
latiano,76561198048020950,14577,4000
kongtape,76561198073719185,777,220
boydeer,76561198106550365,0,220
76561198100297613,76561198100297613,430,4000
VVillis,76561198092825399,81,240
Bubblecup,76561198057605314,0,0
76561198083226897,76561198083226897,12932,105600
76561198082525427,76561198082525427,0,0
76561198075277292,76561198075277292,600,620
76561198094630961,76561198094630961,30778,4000
12549,76561198091016962,468,240
76561198028895010,76561198028895010,198,3390
76561198092411867,76561198092411867,1919,4000
76561198170198366,76561198170198366,115,8190
diego9031,76561198082027703,21928,4000
iampiepiepie,76561198058169014,530,4000
76561198079863506,76561198079863506,384,4000
jarrodtrim,76561197999173629,337,10
76561198078738103,76561198078738103,303466,4000
76561198068964564,76561198068964564,176,12900
76561198067936203,76561198067936203,1828,4000
76561198079770573,76561198079770573,1696,4000
UpTheAss,76561198073052495,469,4000
76561198048504366,76561198048504366,0,0
76561197977385164,76561197977385164,0,220
76561198075491015,76561198075491015,7013,4000
76561198087586464,76561198087586464,13,240
76561198086878953,76561198086878953,1516,220
Derp-e,76561198045022050,174,4000
76561198070194565,76561198070194565,2267,320
Rivtex,76561198104187800,3,320
firefreddy,76561198059463642,93,220
UTNerd24,76561198053985682,5,10
sandwiches1,76561198052850911,374,2400
76561198093083895,76561198093083895,3123,620
76561198138053270,76561198138053270,102731,4000
76561198062422084,76561198062422084,1118,4000
steamurl,76561197998080236,0,0
lucaswerg,76561198056696376,0,0
Life-Of-Blu,76561198065991640,304,4000
CaptianAutismo,76561198100886422,3920,240
maxgp,76561198087444424,7648,4000
AppaTheSwagBison,76561198060827877,15589,4000
knightboy991,76561198037380683,9772,4000
76561198034678103,76561198034678103,2545,4000
76561198075895633,76561198075895633,442,240
TheDropix101,76561198066482493,3818,4000
kube134,76561198031442694,4,70
iamthekingofbrowntown,76561198101807736,904,220
MainScout,76561198092334812,0,205790
gdxsd,76561198087667012,285,280
yookobz,76561198043608819,0,1200
Posiblydead,76561198055519677,987,220
Mossy_Gaming,76561198095258412,708,620
76561198093817084,76561198093817084,8144,4000
76561198102421718,76561198102421718,59192,4000
76561198079045885,76561198079045885,2867,240
76561198087407319,76561198087407319,21,4000
76561198074466513,76561198074466513,36,12120
damo131,76561198048517110,415,4000
19702316748,76561198069523027,1545,4000
FrystHjarte,76561198056505985,15945,105600
76561198056741844,76561198056741844,12,17470
sad-commie,76561198040301510,10,240
Sillybaby,76561198047635687,0,0
76561198030567998,76561198030567998,21,70
76561198010674657,76561198010674657,0,0
Coldaniel,76561198126946946,7727,4000
therealmorty,76561198082552101,13940,240
itslonk,76561198027380739,8,70
DeDroidUreLookin4,76561198065666007,250,1250
Berserklejerker,76561198026747561,20913,4000
76561198088799241,76561198088799241,49,240
76561198061730629,76561198061730629,14,240
YoHuNz,76561198024740070,0,2590
possessioniskey,76561198073017892,8531,4000
76561198072732874,76561198072732874,2967,4000
76561198093112529,76561198093112529,5080,4000
sevqu,76561198131248794,39,4000
76561198060447950,76561198060447950,0,205790
whiteofwolfing,76561198136952974,36840,4000
76561198056857968,76561198056857968,451,70
sergarino,76561198084507508,37016,4000
PyroCreed,76561198061508205,124,320
76561198052897627,76561198052897627,277,17480
76561198081962345,76561198081962345,18539,4000
76561198039266268,76561198039266268,6,500
76561198094224872,76561198094224872,2150,240
76561198073210139,76561198073210139,2050,4000
Nozomikat,76561198076738682,9972,4000
76561198076933844,76561198076933844,0,240
76561198072186059,76561198072186059,3,240
xfluttersx,76561198069920369,17,10
76561198068621601,76561198068621601,40,24240
76561198056290589,76561198056290589,1908,240
thompyawesomeness,76561198021054286,0,0
ii_voltage_ii,76561198075905679,6398,4000
76561198097762318,76561198097762318,1838,4000
Hirukaz,76561198061518530,2466,4000
StelerForYou,76561198066728567,445,240
76561198183396245,76561198183396245,307,4000
otteloo,76561198050051886,0,205790
shinra420,76561198049648545,6864,240
Xx-Woods,76561198064054499,150,300
kevinator23,76561198064469140,1641,240
tonyballoney,76561198071836696,263,4000
76561198090715178,76561198090715178,9098,4000
CatsWhale,76561198072380677,0,0
Child_Vs_Puddle,76561198126693531,1084,4000
76561198073784601,76561198073784601,9129,4000
mimimomoma,76561198098305358,200,30
76561198102410011,76561198102410011,0,205790
de_Butl3r,76561198092276029,8263,4000
76561198157999555,76561198157999555,488,4000
76561198027947401,76561198027947401,270,4000
Bluezap1,76561198228257988,0,10
76561198074200011,76561198074200011,258,326460
jonasdbomb,76561198026525528,0,70
L1J1N,76561198059515552,88,4000
Lord_Exploit,76561198121529183,50,240
76561198079106676,76561198079106676,270,220
76561198092244787,76561198092244787,2617,4000
Sanctus94,76561198003388886,392,4000
76561197990792016,76561197990792016,12108,10
76561198068415226,76561198068415226,0,0
AVATAR715,76561198086661549,1159,300
76561198073987767,76561198073987767,196,4000
Fluxxyz,76561198175213762,3952,4000
76561198092150873,76561198092150873,5478,4000
YieuwMage,76561198168665156,2706,105600
76561198078752187,76561198078752187,0,0
Nfkted_CS,76561198071472087,1410,10
A-Very-Sly-Person,76561198078378562,3092,4000
76561198211054671,76561198211054671,0,0
76561197994493402,76561197994493402,1037,10
Koolcaz12,76561198104221843,0,0
76561198065656175,76561198065656175,75,3910
76561198188979775,76561198188979775,2497,4000
97396295,76561198090575193,13226,550
M1ss_P1nk,76561198074777105,0,0
xoFushiox,76561198080439887,4523,10
76561198126640317,76561198126640317,565,4000
DemonicWolvz,76561198083882871,3990,4000
DieMadchenschanderin,76561198010679125,194,1900
76561198052784112,76561198052784112,0,0
76561198072706529,76561198072706529,290,240
76561198215949741,76561198215949741,38830,730
GGargula,76561198086990597,408,220
Myther43,76561198081394779,50,10
getf0kinn0sc0pedm9,76561198085068505,19872,4000
76561198141443390,76561198141443390,36,4700
76561198031924053,76561198031924053,38991,22380
76561198097333029,76561198097333029,219,4000
dominiclim99,76561198069196370,0,205790
whodafuqisthisguilao,76561198073910768,462,550
76561198072205329,76561198072205329,1321,4000
Icamebackbitches,76561198040729204,55,4000
Magjiikal,76561198042805870,212,240
ohnospaghet,76561198049699081,332,10
76561198060062487,76561198060062487,0,205790
76561198050347115,76561198050347115,0,23310
2768820078,76561198141694336,3370,4000
76561198049968536,76561198049968536,80,4000
76561198056392326,76561198056392326,356,29800
2d4nk4m3,76561198077997412,51,300
76561198074003102,76561198074003102,4100,240
76561198078478151,76561198078478151,0,10
exiaez,76561198069274972,8509,4000
BURNINGchicken3,76561198043909770,298,220
76561198066835162,76561198066835162,428,240
76561198069593452,76561198069593452,669,113400
undietaker,76561197997052702,2979,240
76561198095921854,76561198095921854,6460,4700
EizanAratoFujimaki,76561198160640899,1926,4000
POOTISSPENSOR,76561198067103238,128,50
angorabug,76561198081342211,14,4000
TeCool,76561198034252291,85,4000
ZyhgarThestarweaver,76561198067775813,4201,300
2xDelorean,76561198043816230,4037,4000
washington_,76561198044031549,33,70
jewxxl,76561198085386998,0,0
76561198088944293,76561198088944293,1616,300
76561198092540221,76561198092540221,0,0
76561198061769804,76561198061769804,5,29800
76561198061475436,76561198061475436,0,0
76561198051258119,76561198051258119,1636,550
76561198065771371,76561198065771371,0,205790
nubquake123,76561198053801332,1930,4000
Pyromanic,76561198059267109,94,240
76561198109656922,76561198109656922,25031,4000
76561198149432604,76561198149432604,6873,620
Unplanned_stategy,76561198031111554,14895,8930
CobRazor,76561198000290610,98685,4000
relesprit,76561198039196279,687,4000
76561198090294067,76561198090294067,720,4000
jimmyarcexd,76561198069329007,32,205790
talove112345,76561198068604808,9383,4000
76561198055094875,76561198055094875,6502,4000
WitchHunter4542,76561198049338296,1208,240
76561198203244300,76561198203244300,52344,105600
pwrt,76561198092377415,1365,4000
wantmahbody,76561198095435043,984,4000
76561198115868847,76561198115868847,5813,4700
benedictcuminherbatch,76561198047971656,3825,1250
76561198031207016,76561198031207016,2384,34030
76561198089077856,76561198089077856,0,205790
76561198043458582,76561198043458582,15317,4000
kerim77,76561198034475640,0,0
smashiroshh,76561198140446256,1600,4000
shark854,76561198073360997,51,4000
76561198062876401,76561198062876401,361,220
76561198011661078,76561198011661078,46,10
PabloSanches,76561198047569011,95,70
76561197991074667,76561197991074667,0,205790
killbunny38,76561198033203747,1832,4000
76561198047630659,76561198047630659,3343,240
76561198069713121,76561198069713121,6370,4000
1997-07-06_J077,76561198086801155,17149,4000
76561198076248461,76561198076248461,142,4000
1337lolroflmao,76561198058095161,3833,240
76561198080832419,76561198080832419,4048,105600
76561198151645088,76561198151645088,224,300
IAA_Recon_Dropbear,76561198007380166,54,220
sithjjf,76561198059540034,0,0
goonbagger,76561198106147641,3715,4000
76561198060039459,76561198060039459,37,4000
OzfurAtlas,76561198049756768,9716,4000
76561198065593074,76561198065593074,64851,4000
madmax64,76561198086168469,21265,4000
76561198044169764,76561198044169764,84,300
euzi,76561198074141366,831,47870
76561198074935997,76561198074935997,0,0
76561197961778802,76561197961778802,0,0
lucasrash,76561198092019152,1464,4000
76561198016602703,76561198016602703,0,0
76561198082845362,76561198082845362,9628,730
76561198087767019,76561198087767019,2220,4000
thisissohardtomakeoneup,76561198045506359,21,4000
76561198087010391,76561198087010391,23435,4000
76561198015747875,76561198015747875,0,0
66666669999999,76561198004054805,0,20
76561198061174192,76561198061174192,69,300
DoaFapbeforeaNap,76561198053143446,75,8500
ReMiXOfficalSteam,76561198069676842,43,240
Wilfire77,76561198036810834,165,240
76561198042730234,76561198042730234,0,220
76561198069159579,76561198069159579,148,205790
76561198086476445,76561198086476445,1082,240
76561198085016240,76561198085016240,954,240
76561198060808273,76561198060808273,9325,4000
76561198084390807,76561198084390807,1,10180
76561198003688205,76561198003688205,205234,10
Mastic,76561198070257177,339,70
Scooterinooo,76561198160377098,418,220
76561198028286104,76561198028286104,311,4000
76561198088447673,76561198088447673,1515,10
tarjla,76561198063067690,3229,240
deathnz1,76561197995287773,49,10
readingthis4noobs,76561198089643196,17240,4000
SonicMCGamer,76561198092383889,607,240
xXBoss1Xx,76561198286931078,864,104900
76561198084698198,76561198084698198,44302,4000
76561198104393251,76561198104393251,12880,4000
Borne901,76561198049508546,1352,10
76561198075322986,76561198075322986,22,11390
redsncrimson,76561198055786387,4333,4000
76561198151910904,76561198151910904,14,4760
H1DD3NT3RR0R,76561198066902183,327,220
76561198071214618,76561198071214618,685,240
76561198115115631,76561198115115631,527,240
sisiiik,76561198047046499,2233,6860
76561198071175142,76561198071175142,1440,4000
t8s,76561198191333731,67,10180
pikawuu2,76561198052736868,2711,4000
Sammeh00,76561198088147599,10499,4000
godlike_bot,76561198080807756,53,240
76561198044204914,76561198044204914,0,0
dpswaffles,76561198067512897,2947,4000
NoObFiGHtEr,76561198032786959,77,17300
Michaelele,76561198059519402,0,240
76561198045754869,76561198045754869,375,240
76561198076098774,76561198076098774,412,240
76561198074963071,76561198074963071,55,4000
76561198103253374,76561198103253374,0,205790
76561198048417105,76561198048417105,438,220
76561197989175394,76561197989175394,6964,240
76561198090842891,76561198090842891,14499,4000
76561198058706736,76561198058706736,0,2620
76561198055767971,76561198055767971,2,240
76561197998052647,76561197998052647,2420,4000
adohya343,76561198123280390,0,300
76561198145436942,76561198145436942,10473,4000
jjas01,76561197973962178,0,0
3xotic26,76561198046015922,110,220
iamthetrashlord,76561198063595238,97,300
nothingheretrustme,76561198085452091,4296,4000
76561198071253729,76561198071253729,1118,4000
3dster,76561198064608459,198,4000
76561198041808338,76561198041808338,8103,4000
76561198016685643,76561198016685643,560,220
_za,76561198069002084,0,0
76561198035588228,76561198035588228,0,0
76561198079990063,76561198079990063,2,240
Forty-Nine,76561198087332642,8780,4000
76561198051017916,76561198051017916,412,400
L4M1NAS,76561198050176480,463,240
emurphy8,76561198057408937,219,4000
76561198096766604,76561198096766604,1800,4000
Sephirical,76561198042796550,26,4000
76561197995322437,76561197995322437,213,220
imsojipper,76561198070484359,16,300
76561198066840831,76561198066840831,12329,12210
76561198096220900,76561198096220900,402,4000
76561198084542731,76561198084542731,178,220
fullswag0to100realquick,76561198054734103,3395,240
76561198061913628,76561198061913628,0,0
76561198102121026,76561198102121026,37,338170
76561198023094381,76561198023094381,0,0
76561198103671881,76561198103671881,194,4000
mrpfresh,76561197974266367,148,10
GamerFag,76561198006592023,125,10
76561197970628046,76561197970628046,655,220
76561198013858002,76561198013858002,103,3910
76561198058570014,76561198058570014,2953,240
76561198045133986,76561198045133986,1297,220
CocoRichy,76561198090629243,0,0
EHS-R3AP3R,76561198050004858,0,0
76561198002820828,76561198002820828,5432,4000
chidori_647,76561198018683659,0,10
76561198092227136,76561198092227136,0,10
76561197975388604,76561197975388604,0,0
hellcat59,76561198089539976,11658,4000
76561198007584361,76561198007584361,1041,4000
tbimperator,76561198061137771,303,3920
Allahu_Akbar666,76561198072341833,32709,4000
ulramite,76561198055973093,13,220
76561198080534850,76561198080534850,0,240
-GM-Dragon,76561197978442610,14,10
LeoRocksAce,76561198083940248,255,4000
76561198054040292,76561198054040292,6508,4000
76561198078799606,76561198078799606,0,0
76561198155458511,76561198155458511,21031,4000
76561198045065985,76561198045065985,0,0
I_DID_911_JUST_SAYING,76561198067520555,2349,4000
76561198077035732,76561198077035732,2078,105600
76561198072625764,76561198072625764,163,4000
A_Je_100,76561198070273727,37608,105600
imagoatieatpoo,76561198050771457,2031,17390
750805,76561198095708135,176,15700
76561198080881726,76561198080881726,155,4000
Thatishayden,76561198055320702,252,240
76561198033864626,76561198033864626,0,0
Flabbernackle,76561198063584783,1826,4000
diabeticfuck,76561198072918306,5,300
